type,event_type,startedAt,duration,cause,cpu_user,cpu_kernel,cpu_wallClock,heap_occupancy_before_coll,heap_occupancy_after_coll,heap_size_before_coll,heap_size_after_coll,perm_or_meta_occupancy_before_coll,perm_or_meta_occupancy_after_coll,perm_or_meta_size_before_coll,perm_or_meta_size_after_coll
Young,PauseEvent,2023-07-18T18:46:11.189+02:00@2188976.703,0.007503999999999999,G1_EVACUATION_PAUSE,0.02,0.0,0.01,759808,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:46:18.063+02:00@2188983.577,0.006416000000000001,G1_EVACUATION_PAUSE,0.01,0.0,0.01,744448,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:46:23.230+02:00@2188988.743,0.0063609999999999995,G1_EVACUATION_PAUSE,0.01,0.0,0.0,759808,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:46:29.679+02:00@2188995.192,0.0057350000000000005,G1_EVACUATION_PAUSE,0.01,0.0,0.0,738304,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:46:34.939+02:00@2189000.452,0.005228,G1_EVACUATION_PAUSE,0.0,0.0,0.0,747520,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:46:40.732+02:00@2189006.245,0.005008,G1_EVACUATION_PAUSE,0.01,0.0,0.01,756736,185344,921600,921600,111841,111841,112576,112576
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:46:43.734+02:00@2189009.248,0.005632,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.01,545792,187392,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:46:43.740+02:00@2189009.253,0.0012629999999999998,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:46:43.740+02:00@2189009.253,0.001234,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:46:48.761+02:00@2189014.274,0.006521,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.0,765952,186368,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:46:48.767+02:00@2189014.281,0.0015609999999999999,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:46:48.767+02:00@2189014.281,0.001527,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
Young,PauseEvent,2023-07-18T18:46:54.753+02:00@2189020.266,0.004796,G1_EVACUATION_PAUSE,0.0,0.01,0.01,759808,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:47:00.509+02:00@2189026.022,0.005123,G1_EVACUATION_PAUSE,0.01,0.0,0.0,745472,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:47:06.104+02:00@2189031.617,0.005207,G1_EVACUATION_PAUSE,0.0,0.0,0.01,754688,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:47:11.690+02:00@2189037.203,0.005016,G1_EVACUATION_PAUSE,0.01,0.0,0.0,751616,185344,921600,921600,111841,111841,112576,112576
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:47:15.535+02:00@2189041.048,0.006879,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.01,642048,185344,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:47:15.542+02:00@2189041.055,0.00189,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:47:15.542+02:00@2189041.055,0.00186,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:47:19.461+02:00@2189044.974,0.006131999999999999,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.0,672768,187392,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:47:19.467+02:00@2189044.981,0.003527,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:47:19.467+02:00@2189044.981,0.00349,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
